call_failure,complains,charge_amount,seconds_of_use,frequency_of_SMS,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn
0,0,0,650,8,6,2,1,2,65.745,0
0,0,0,7448,379,41,2,1,1,2046.24,0
4,0,0,11405,6,45,3,1,1,486.24,0
5,0,0,6658,103,35,2,1,1,766.35,0
20,0,0,895,11,15,2,1,2,91.755,1
18,0,7,10375,0,40,4,1,1,261.625,0
10,0,0,5758,21,22,2,1,1,357.885,1
0,0,0,2780,0,12,3,1,1,111.96,0
6,0,0,2930,4,14,2,1,2,151.56,1
6,1,0,2208,29,29,3,1,2,205.96,1
0,0,0,1608,0,4,3,1,1,65.2,0
0,0,0,6725,9,20,4,1,1,192.975,0
0,0,0,568,4,2,4,1,2,24.3,1
22,0,2,16015,0,78,2,1,1,731.25,0
3,0,2,6905,266,31,2,2,1,1512.81,0
0,0,0,3658,0,26,2,1,1,168.165,0
0,0,0,1605,33,18,3,1,2,197.84,0
3,0,0,2720,170,21,2,1,1,889.65,0
1,0,0,1255,188,9,2,2,1,903.96,0
1,0,0,1508,25,66,4,1,1,101.1,0
8,0,0,640,5,5,2,1,2,52.29,0
0,1,0,765,16,1,4,1,2,59.3,1
7,0,0,1165,14,11,2,1,1,116.73,0
0,0,0,3165,3,21,3,1,1,140.92,0
0,0,0,1635,23,12,2,1,1,178.11,0
13,0,0,6333,80,40,1,2,1,795.905,0
9,0,0,8873,68,38,4,1,1,396.025,0
5,0,2,2793,26,17,3,1,1,217.4,0
0,0,0,4330,210,8,3,1,1,1014.68,0
0,0,0,1428,0,5,3,1,1,57.76,1
9,0,1,4450,15,21,3,1,1,240.92,0
1,1,0,398,17,8,3,1,2,84.2,1
11,0,1,2533,369,28,3,1,1,1579.8,0
11,0,1,4278,11,39,1,1,1,299.53,0
4,0,1,2473,12,37,2,1,1,167.985,0
12,0,2,3855,42,32,3,1,1,325.56,0
5,0,1,2440,295,22,3,1,1,1279.24,0
14,0,3,9195,154,47,3,1,1,988.72,0
8,0,1,13853,10,48,3,1,1,600.96,0
8,0,2,4595,12,29,3,1,1,235.2,0
7,0,1,5998,17,16,3,1,1,311.8,0
10,0,0,2318,18,21,3,1,2,166.96,0
26,0,4,15220,64,36,3,2,1,873.88,0
5,0,2,3175,493,12,3,1,1,2100.16,0
10,0,1,15565,160,34,2,1,1,1428.705,0
4,0,2,6580,196,30,3,1,1,1050.72,0
1,0,0,955,10,15,2,1,2,88.695,0
3,0,0,790,23,12,3,1,2,124.24,0
1,0,0,80,10,4,2,1,2,48.69,1
4,0,1,7588,394,47,3,1,1,1884.68,0
8,0,2,11545,21,51,4,1,1,345.025,0
9,0,2,6798,118,41,2,1,1,840.375,0
24,1,0,1035,26,21,3,1,2,147.36,1
22,1,9,10515,11,46,5,1,1,175.65,0
14,0,2,5898,36,28,2,1,1,431.91,1
2,0,1,2920,10,18,3,1,1,157.76,0
10,0,0,3070,19,20,3,1,2,200.52,1
10,1,0,2348,44,35,3,1,2,271.76,1
1,0,0,213,10,6,3,1,2,48.68,1
2,0,1,1748,10,10,4,1,1,69.375,0
4,0,2,6865,24,26,5,1,1,140.46,0
1,1,0,708,19,8,4,1,2,65.425,1
1,0,2,418,14,6,5,1,1,27.36,0
26,0,4,16155,10,84,2,1,1,782.775,0
7,1,4,7045,281,37,2,2,1,1586.835,0
3,0,1,3798,12,32,3,1,1,203.28,0
4,0,0,1745,48,24,3,1,2,263.64,0
7,0,1,2860,185,27,2,1,1,963.675,0
5,0,2,1395,203,15,2,2,1,977.985,0
5,0,1,1648,40,72,4,1,1,142.225,0
12,0,0,780,20,11,3,1,2,112.28,0
1,0,0,905,31,7,4,1,2,100.425,0
11,0,1,1305,29,17,2,1,1,190.755,0
3,0,1,3305,18,27,3,1,1,206.72,0
3,0,1,1775,38,18,2,1,1,252.135,0
17,0,2,6473,95,46,2,2,1,725.22,0
13,0,1,9013,83,44,5,1,1,262.29,0
9,0,4,2933,41,23,3,1,1,283.2,0
3,0,2,4470,225,14,3,1,1,1080.48,0
4,0,2,1568,10,11,3,1,1,103.56,1
7,0,0,4290,0,13,2,1,1,196.155,0
9,0,0,2373,349,20,2,1,1,1679.895,0
9,0,0,4118,0,31,1,1,1,230.01,0
2,0,0,2313,0,29,1,1,1,130.295,0
10,0,0,3695,22,24,3,1,1,239.0,0
3,0,0,2280,275,14,3,1,1,1192.68,0
12,0,1,9035,134,39,3,1,1,902.16,0
6,0,0,13693,0,40,3,1,1,554.4,0
6,0,0,4435,0,21,3,1,1,180.64,0
5,0,0,5838,0,8,2,1,1,266.895,0
8,0,0,2158,0,13,3,1,2,88.4,0
24,0,2,15060,44,28,3,1,1,787.32,0
3,0,0,3015,473,4,3,1,1,2013.6,0
8,0,0,15405,140,26,2,1,1,1331.325,0
2,0,0,6420,176,22,3,1,1,964.16,0
0,0,0,795,0,7,2,1,2,36.315,0
1,0,0,630,3,4,2,1,2,42.39,0
2,0,0,7428,374,39,2,1,1,2022.885,0
6,0,0,11385,1,43,3,1,1,465.48,0
7,0,0,6638,98,33,2,1,1,742.995,0
22,0,0,875,6,13,2,1,2,68.4,1
20,0,7,10355,0,38,4,1,1,261.15,0
12,1,0,5738,16,20,2,1,1,334.53,1
0,0,0,2760,0,10,3,1,1,111.2,0
8,1,0,2910,0,12,3,1,2,117.96,1
8,0,0,2188,24,27,3,1,2,185.2,1
0,0,0,1588,0,2,3,1,1,64.44,0
2,0,0,6705,4,18,4,1,1,180.0,0
24,0,2,15995,0,76,2,1,1,730.395,0
5,0,2,6885,261,29,2,2,1,1489.455,0
1,0,0,3638,0,24,2,1,1,167.31,0
2,0,0,1585,28,16,3,1,2,177.08,0
5,0,0,2700,165,19,2,1,1,866.295,0
3,0,0,1235,183,7,2,2,1,880.605,0
3,0,0,1488,20,64,4,1,1,88.125,0
10,0,0,620,0,3,2,1,2,28.935,0
0,0,0,0,11,0,4,1,2,27.5,0
9,0,0,1145,9,9,2,1,1,93.375,0
1,0,0,3145,0,19,3,1,1,128.16,0
1,0,0,1615,18,10,2,1,1,154.755,0
15,0,0,6313,75,38,1,2,1,767.36,0
11,0,0,8853,63,36,4,1,1,383.05,0
7,0,2,2773,21,15,3,1,1,196.64,0
1,0,0,4310,205,6,3,1,1,993.92,0
2,0,0,1408,0,3,3,1,1,57.0,1
13,0,1,4630,20,23,3,1,1,268.44,0
5,0,0,578,22,10,3,1,2,111.72,0
15,0,1,2713,374,30,3,1,1,1607.32,0
15,0,1,4458,16,41,1,1,1,337.37,0
8,0,1,2653,17,39,2,1,1,198.945,0
16,0,2,4035,47,34,3,1,1,353.08,0
9,0,1,2620,300,24,3,1,1,1306.76,0
18,0,3,9375,159,49,3,1,1,1016.24,0
12,0,1,14033,15,50,3,1,1,628.48,0
12,0,2,4775,17,31,3,1,1,262.72,0
11,0,1,6178,22,18,3,1,1,339.32,0
14,1,0,2498,23,23,3,1,2,194.48,0
30,0,4,15400,69,38,3,1,1,901.4,0
9,0,2,3355,498,14,3,1,1,2127.68,0
14,0,1,15745,165,36,2,1,1,1459.665,0
8,0,2,6760,201,32,3,1,1,1078.24,0
5,0,0,1135,15,17,2,1,2,119.655,0
7,0,0,970,28,14,3,1,2,151.76,0
5,0,0,260,15,6,2,1,2,79.65,1
8,0,1,7768,399,49,3,1,1,1912.2,0
12,0,2,11725,26,53,4,1,1,362.225,0
13,0,2,6978,123,43,2,1,1,871.335,0
28,1,0,1215,31,23,3,1,2,174.88,1
26,0,9,10695,16,48,5,2,1,185.97,0
18,0,2,6078,41,30,2,1,1,462.87,0
6,0,1,3100,15,20,3,1,1,185.28,0
14,1,0,3250,24,22,3,1,2,228.04,1
14,1,0,2528,49,37,4,1,2,187.05,1
5,0,0,393,15,8,3,1,2,76.2,1
6,0,1,1928,15,12,4,1,1,86.575,0
8,0,2,7045,29,28,5,1,1,150.78,0
5,0,0,888,24,10,4,1,2,82.625,1
5,0,2,598,19,8,5,1,1,37.68,0
30,1,4,16335,15,86,2,1,1,813.735,0
11,1,4,7225,286,39,3,2,1,1438.04,0
7,0,1,3978,17,34,3,1,1,230.8,0
8,0,0,1925,53,26,3,1,2,291.16,0
11,0,1,3040,190,29,2,1,1,994.635,0
9,0,2,1575,208,17,3,2,1,896.84,0
9,0,1,1828,45,74,5,1,1,95.655,0
16,0,0,960,25,13,3,1,2,139.8,0
5,0,0,1085,36,9,4,1,2,117.625,0
15,0,1,1485,34,19,2,1,1,221.715,0
7,0,1,3485,23,29,3,1,1,234.24,0
7,0,1,1955,43,20,3,1,1,251.64,0
21,0,2,6653,100,48,2,2,1,756.18,0
17,0,1,9193,88,46,5,1,1,272.61,0
13,0,4,3113,46,25,3,1,1,310.72,0
7,0,2,4650,230,16,3,1,1,1108.0,0
8,1,2,1748,15,13,3,1,1,131.08,1
3,0,0,4110,0,11,2,1,1,187.695,0
5,0,0,2193,344,18,2,1,1,1648.935,0
5,0,0,3938,0,29,1,1,1,219.67,0
0,0,0,2133,0,27,1,1,1,119.955,0
6,0,0,3515,17,22,2,1,1,237.915,0
0,0,0,2100,270,12,3,1,1,1165.16,0
8,0,1,8855,129,37,3,1,1,874.64,0
2,0,0,13513,0,38,3,1,1,546.88,0
2,0,0,4255,0,19,3,1,1,173.12,0
1,0,0,5658,0,6,2,1,1,258.435,0
4,0,0,1978,0,11,3,1,2,80.88,0
20,0,2,14880,39,26,3,1,1,759.8,0
0,0,0,2835,468,2,3,1,1,1986.08,0
4,0,0,15225,135,24,2,1,1,1300.365,0
0,0,0,6240,171,20,3,1,1,936.64,0
0,0,0,615,0,5,2,1,2,27.855,0
0,0,0,450,0,2,2,1,2,20.43,0
0,0,0,7248,369,37,2,1,1,1991.925,0
2,0,0,11205,0,41,3,1,1,453.96,0
3,0,0,6458,93,31,2,1,1,712.035,0
18,1,0,695,1,11,2,1,2,37.44,1
16,0,7,10175,0,36,4,1,1,256.45,0
8,1,0,5558,11,18,2,1,1,303.57,1
0,0,0,2580,0,8,3,1,1,103.68,0
4,0,0,2730,0,10,2,1,2,124.245,1
4,1,0,2008,19,25,3,1,2,157.68,1
0,0,0,6525,0,16,4,1,1,165.3,0
20,0,2,15815,0,74,2,1,1,721.935,0
1,0,2,6705,256,27,2,2,1,1458.495,0
0,0,0,3458,0,22,2,1,1,158.85,0
0,0,0,1405,23,14,3,1,2,149.56,0
1,0,0,2520,160,17,2,1,1,835.335,0
0,0,0,1055,178,5,2,2,1,849.645,0
0,0,0,1308,15,62,4,1,1,70.925,0
6,0,0,440,0,1,2,1,2,20.475,0
0,0,0,0,6,0,4,1,2,15.0,0
5,0,0,965,4,7,2,1,1,62.415,0
0,0,0,2965,0,17,3,1,1,120.64,0
0,0,0,1435,13,8,2,1,1,123.795,0
11,0,0,6133,70,36,1,2,1,729.52,0
7,0,0,8673,58,34,4,1,1,365.85,0
3,0,2,2593,16,13,3,1,1,169.12,0
0,0,0,4130,200,4,3,1,1,966.4,0
0,1,0,1228,0,1,2,1,1,55.665,1
10,0,0,4550,16,22,3,1,1,249.16,0
2,0,0,498,18,9,2,1,2,103.995,0
12,0,0,2633,370,29,3,1,1,1588.04,0
12,0,0,4378,12,40,1,1,1,310.86,0
5,0,0,2573,13,38,1,1,1,216.645,0
13,0,1,3955,43,33,3,1,1,333.8,0
6,0,0,2540,296,23,3,1,1,1287.48,0
15,0,2,9295,155,48,3,1,1,996.96,0
9,0,0,13953,11,49,3,1,1,609.2,0
9,0,1,4695,13,30,3,1,1,243.44,0
8,0,0,6098,18,17,3,1,1,320.04,0
11,0,0,2418,19,22,3,1,2,175.2,0
27,0,3,15320,65,37,3,1,1,882.12,0
6,0,1,3275,494,13,3,1,1,2108.4,0
11,0,0,15665,161,35,2,1,1,1437.975,0
5,0,1,6680,197,31,3,1,1,1058.96,0
2,0,0,1055,11,16,2,1,2,97.965,0
4,0,0,890,24,13,3,1,2,132.48,0
2,0,0,180,11,5,2,1,2,57.96,1
5,0,0,7688,395,48,2,1,1,2129.535,0
9,0,1,11645,22,52,4,1,1,350.175,0
10,0,1,6898,119,42,2,1,1,849.645,0
25,1,0,1135,27,22,2,1,2,175.05,1
23,0,8,10615,12,47,5,1,1,178.74,0
15,0,1,5998,37,29,2,1,1,441.18,0
3,0,0,3020,11,19,3,1,1,166.0,0
11,1,0,3170,20,21,3,1,2,208.76,1
11,1,0,2448,45,36,3,1,2,280.0,1
2,1,0,313,11,7,3,1,2,56.92,1
3,0,0,1848,11,11,3,1,1,119.24,0
5,0,1,6965,25,27,5,1,1,143.55,0
2,0,0,808,20,9,4,1,2,70.575,1
2,0,1,518,15,7,5,1,1,30.45,0
27,1,3,16255,11,85,2,1,1,792.045,0
8,0,3,7145,282,38,2,2,1,1596.105,0
4,0,0,3898,13,33,2,1,1,237.96,0
5,0,0,1845,49,25,3,1,2,271.88,0
8,0,0,2960,186,28,2,1,1,972.945,0
6,1,1,1495,204,16,2,2,1,987.255,1
6,0,0,1748,41,73,4,1,1,147.375,0
13,0,0,880,21,12,2,1,2,135.585,0
2,0,0,1005,32,8,4,1,2,105.575,0
12,0,0,1405,30,18,2,1,1,200.025,0
4,0,0,3405,19,28,3,1,1,214.96,0
4,0,0,1875,39,19,2,1,1,261.405,0
18,0,1,6573,96,47,2,2,1,734.49,0
14,0,0,9113,84,45,4,1,1,442.3,0
10,0,3,3033,42,24,3,1,1,291.44,0
4,0,1,4570,226,15,3,1,1,1088.72,0
5,0,1,1668,11,12,3,1,1,111.8,1
6,0,0,4190,0,12,3,1,1,170.12,0
8,0,0,2273,348,19,3,1,1,1485.0,0
8,0,0,4018,0,30,1,1,1,224.18,0
1,0,0,2213,0,28,1,1,1,124.465,0
9,0,1,3595,21,23,3,1,1,230.76,0
2,0,0,2180,274,13,3,1,1,1184.44,0
11,0,2,8935,133,38,3,1,1,893.92,0
5,0,0,13593,0,39,3,1,1,550.16,0
5,0,1,4335,0,20,3,1,1,176.4,0
4,0,0,5738,0,7,3,1,1,233.0,0
7,0,0,2058,0,12,3,1,2,84.16,0
23,0,3,14960,43,27,3,1,1,779.08,0
2,0,1,2915,472,3,3,1,1,2005.36,0
7,0,0,15305,139,25,2,1,1,1322.055,0
1,0,1,6320,175,21,3,1,1,955.92,0
0,0,0,695,0,6,2,1,2,31.545,0
0,0,0,530,2,3,3,1,2,29.44,0
1,0,0,7328,373,38,2,1,1,2013.615,0
5,0,1,11285,0,42,4,1,1,285.775,0
6,0,1,6538,97,32,2,1,1,733.725,0
21,1,0,775,5,12,2,1,2,59.13,1
19,0,8,10255,0,37,5,1,1,155.1,0
11,1,1,5638,15,19,2,1,1,325.26,1
0,0,0,2660,0,9,3,1,1,106.96,0
7,0,0,2810,0,11,3,1,2,113.72,1
7,1,0,2088,23,26,3,1,2,176.96,1
0,0,0,1488,0,1,3,1,1,60.2,0
1,0,1,6605,3,17,5,1,1,104.91,0
23,0,3,15895,0,75,2,1,1,725.625,0
4,0,3,6785,260,28,2,2,1,1480.185,0
0,0,0,3538,0,23,2,1,1,162.54,0
1,0,0,1485,27,15,3,1,2,168.84,0
4,0,0,2600,164,18,2,1,1,857.025,0
2,0,1,1135,182,6,2,2,1,871.335,0
2,0,0,1388,19,63,4,1,1,82.975,0
9,0,0,520,0,2,2,1,2,24.165,0
0,0,0,0,10,0,4,1,2,25.0,0
8,0,0,1045,8,8,2,1,1,84.105,0
0,0,0,3045,0,18,3,1,1,123.92,0
0,0,0,1515,17,9,2,1,1,145.485,0
14,0,1,6213,74,37,2,2,1,618.57,0
10,0,0,8753,62,35,4,1,1,377.9,0
6,0,3,2673,20,14,3,1,1,188.4,0
0,0,1,4210,204,5,3,1,1,985.68,0
1,0,1,1308,0,2,3,1,1,52.76,1
12,0,2,4970,26,32,3,1,1,306.04,0
4,0,0,918,28,19,3,1,2,149.32,0
14,0,2,3053,380,39,3,1,1,1644.92,0
14,0,2,4798,22,50,1,1,1,389.07,0
7,0,2,2993,23,48,2,1,1,241.245,0
15,0,3,4375,53,43,3,1,1,390.68,0
8,0,2,2960,306,33,3,1,1,1344.36,0
17,0,4,9715,165,58,3,2,1,1053.84,0
11,0,2,14373,21,59,3,1,1,666.08,0
11,0,3,5115,23,40,3,1,1,300.32,0
10,0,2,6518,28,27,3,1,1,376.92,0
13,0,0,2838,29,32,3,1,2,232.08,0
29,0,5,15740,75,47,3,1,1,939.0,0
8,0,3,3695,504,23,3,1,1,2165.28,0
13,0,2,16085,171,45,2,1,1,1501.965,0
7,0,3,7100,207,41,3,1,1,1115.84,0
4,0,0,1475,21,26,2,1,2,161.955,0
6,0,0,1310,34,23,3,1,2,189.36,0
4,0,0,600,21,15,2,1,2,121.95,1
7,0,2,8108,405,58,3,1,1,1949.8,0
11,0,3,12065,32,62,4,1,1,385.725,0
12,0,3,7318,129,52,2,1,1,913.635,0
27,1,0,1555,37,32,3,1,2,212.48,1
25,0,10,11035,22,57,5,2,1,200.07,0
17,0,3,6418,47,39,2,1,1,505.17,0
5,0,2,3440,21,29,3,1,1,222.88,0
13,1,0,3590,30,31,3,1,2,265.64,1
13,1,0,2868,55,46,3,1,2,336.88,1
4,0,0,733,21,17,3,1,2,113.8,1
5,0,2,2268,21,21,4,1,1,110.075,0
7,0,3,7385,35,37,5,1,1,164.88,0
4,0,0,1228,30,19,4,1,2,106.125,1
4,0,3,938,25,17,5,1,1,51.78,0
29,0,5,16675,21,95,2,1,1,856.035,0
10,0,5,7565,292,48,2,2,1,1660.095,0
6,0,2,4318,23,43,3,1,1,268.4,0
7,1,0,2265,59,35,3,1,2,328.76,1
10,0,2,3380,196,38,2,1,1,1036.935,0
8,0,3,1915,214,26,2,2,1,1051.245,0
8,0,2,2168,51,83,4,1,1,182.925,0
15,0,0,1300,31,22,3,1,2,177.4,0
4,0,0,1425,42,18,4,1,2,141.125,0
14,0,2,1825,40,28,2,1,1,264.015,0
6,0,2,3825,29,38,3,1,1,271.84,0
6,0,2,2295,49,29,2,1,1,325.395,0
20,0,3,6993,106,57,2,2,1,798.48,0
16,0,2,9533,94,55,5,1,1,286.71,0
12,0,5,3453,52,34,3,1,1,348.32,0
6,0,3,4990,236,25,3,1,1,1145.6,0
7,1,3,2088,21,22,3,1,1,168.68,1
4,0,0,3770,0,2,2,1,1,172.395,0
6,0,0,1853,338,9,2,1,1,1606.635,0
6,0,0,3598,0,20,1,1,1,200.97,0
0,0,0,1793,0,18,1,1,1,101.255,0
7,0,0,3175,11,13,3,1,1,173.88,0
0,0,0,1760,264,3,3,1,1,1127.56,0
9,0,0,8515,123,28,3,1,1,837.04,0
3,0,0,13173,0,29,3,1,1,533.28,0
3,0,0,3915,0,10,3,1,1,159.52,0
2,0,0,5318,0,15,2,1,1,243.135,0
5,0,0,1638,0,2,3,1,2,67.28,0
21,0,1,14540,33,17,3,1,1,722.2,0
0,0,0,2495,462,7,3,1,1,1948.48,0
5,0,0,14885,129,15,2,1,1,1258.065,0
0,0,0,5900,165,11,3,1,1,899.04,0
0,0,0,275,0,1,2,1,2,12.555,0
0,0,0,110,0,1,2,1,2,5.13,0
0,0,0,6908,363,28,2,1,1,1949.625,0
3,0,0,10865,0,32,3,1,1,440.36,0
4,0,0,6118,87,22,2,1,1,669.735,0
19,0,0,355,0,2,2,1,2,17.64,1
17,0,6,9835,0,27,4,1,1,247.95,0
9,1,0,5218,5,9,2,1,1,261.27,1
0,0,0,2240,0,4,3,1,1,90.08,0
5,0,0,2390,0,1,3,1,2,96.84,1
5,0,0,1668,13,16,3,1,2,120.08,1
0,0,0,1068,0,3,3,1,1,43.32,0
0,0,0,6185,0,7,4,1,1,156.8,0
21,0,1,15475,0,65,2,1,1,706.635,0
2,0,1,6365,250,18,2,2,1,1416.195,0
0,0,0,3118,0,13,2,1,1,143.55,0
0,0,0,1065,17,5,3,1,2,111.96,0
2,0,0,2180,154,8,2,1,1,793.035,0
0,0,0,715,172,1,2,2,1,807.345,0
0,0,0,968,9,53,4,1,1,47.425,0
7,0,0,100,0,3,2,1,2,5.175,0
6,0,0,625,0,2,2,1,1,29.115,0
0,0,0,2625,0,8,3,1,1,107.04,0
0,0,0,1095,7,6,2,1,1,81.495,0
12,0,0,5793,64,27,1,2,1,677.82,0
8,0,0,8333,52,25,4,1,1,342.35,0
4,0,1,2253,10,4,3,1,1,131.52,0
0,0,0,3790,194,23,3,1,1,928.8,0
0,1,0,888,0,3,3,1,1,35.88,1
8,0,1,4485,37,21,3,1,1,330.48,0
0,0,0,433,39,8,3,1,2,173.76,0
10,0,1,2568,391,28,3,1,1,1669.36,0
10,0,1,4313,33,39,1,1,1,422.675,0
3,0,1,2508,34,37,2,1,1,268.74,0
11,0,2,3890,64,32,3,1,1,415.12,0
4,0,1,2475,317,22,4,1,1,855.5,0
13,0,3,9230,176,47,3,1,1,1078.28,0
7,0,1,13888,32,48,3,1,1,690.52,0
7,0,2,4630,34,29,3,1,1,324.76,0
6,0,1,6033,39,16,3,1,1,401.36,0
9,1,0,2353,40,21,3,1,2,256.52,0
25,0,4,15255,86,36,3,1,1,963.44,0
4,0,2,3210,515,12,4,1,1,1368.575,0
9,0,1,15600,182,34,2,1,1,1529.46,0
3,0,2,6615,218,30,3,1,1,1140.28,0
0,0,0,990,32,15,2,1,2,189.45,0
2,0,0,825,45,12,3,1,2,213.8,0
0,0,0,115,32,4,2,1,2,149.445,1
3,0,1,7623,416,47,3,1,1,1974.24,0
7,0,2,11580,43,51,4,1,1,401.0,0
8,0,2,6833,140,41,2,1,1,941.13,0
23,1,0,1070,48,21,3,1,2,236.92,1
21,0,9,10550,33,46,5,1,1,209.235,0
13,0,2,5933,58,28,3,1,1,473.48,0
1,0,1,2955,32,18,3,1,1,247.32,0
9,1,0,3105,41,20,3,1,2,290.08,1
9,0,0,2383,66,35,4,1,2,225.825,1
0,0,0,248,32,6,3,1,2,138.24,1
1,0,1,1783,32,10,4,1,1,125.35,0
