call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_SMS,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn,predicted_clv
2,0,18,0,1695,28,14,2,1,1,203.445,0,140.19967739783854
16,0,17,1,6393,85,42,2,2,1,676.53,0,782.4302372478493
12,0,15,0,8933,73,40,4,1,1,410.1,0,370.4123768973887
8,0,16,3,2853,31,19,3,2,1,239.92,0,277.3074333683911
2,0,9,1,4390,215,10,3,1,1,1037.2,0,1058.462326307092
3,0,9,1,1488,0,7,3,1,1,60.28,1,80.51958814712776
11,0,40,1,4430,10,19,3,1,1,220.16,0,216.17313472934467
3,0,41,1,378,12,6,3,1,1,63.44,0,72.1750288794985
13,0,39,1,2513,364,26,3,1,1,1559.04,0,1670.3053745283344
13,0,40,1,4258,6,37,1,1,1,270.985,0,268.8400814222978
6,0,40,1,2453,7,35,2,1,1,144.63,0,175.32758600722846
14,0,40,2,3835,37,30,3,2,1,304.8,0,354.2959649208821
7,0,40,1,2420,290,20,3,1,1,1258.48,0,1430.1403873552647
16,0,39,3,9175,149,45,3,1,1,967.96,0,1102.5823979911506
10,0,40,1,13833,5,46,3,1,1,580.2,0,582.802584546119
10,0,40,2,4575,7,27,3,1,1,214.44,0,231.08788627467734
9,0,40,1,5978,12,14,3,1,1,291.04,0,266.70513407593205
12,0,40,1,2298,13,19,3,1,1,146.2,0,152.13578703996927
28,0,40,4,15200,59,34,3,1,1,853.12,0,838.5050878847605
7,0,40,2,3155,488,10,3,1,1,2079.4,0,2007.542051749134
12,0,39,1,15545,155,32,2,1,1,1405.35,0,1318.30717616952
6,0,39,2,6560,191,28,3,1,1,1029.96,0,1179.4926809570843
3,0,39,1,935,5,13,2,1,1,65.34,0,82.18707667743551
5,0,40,1,770,18,10,3,1,1,103.48,0,94.44527466524528
3,1,39,1,60,5,2,2,1,1,25.335,1,60.1645603809693
6,0,39,1,7568,389,45,3,1,1,1863.92,0,1513.4612799749889
10,0,39,2,11525,16,49,4,2,1,332.05,0,297.4383073248559
11,0,39,2,6778,113,39,2,1,1,817.02,0,911.161820812847
26,1,35,1,1015,21,19,3,1,1,126.6,1,128.48644306960662
24,1,38,9,10495,6,44,5,2,1,167.865,0,186.5212555960806
16,0,38,2,5878,31,26,2,1,1,408.555,0,415.24796462712396
4,0,36,1,2900,5,16,3,1,1,137.0,0,134.0043714586898
12,0,37,1,3050,14,18,3,1,1,179.76,1,176.7936556279178
12,1,38,1,2328,39,33,3,1,1,251.0,1,171.36502892184473
3,0,38,1,193,5,4,3,1,1,27.92,1,60.51731101170112
4,0,38,1,1728,5,8,4,1,1,56.4,0,64.35560501459386
6,0,35,2,6845,19,24,5,1,1,132.675,0,124.97174721228032
3,0,38,1,688,14,6,4,1,1,52.45,1,54.46329382339275
3,0,38,2,398,9,4,5,1,1,19.575,0,21.412334252062784
28,0,33,4,16135,5,82,2,1,1,759.42,0,768.5682401194232
9,1,36,4,7025,276,35,3,2,1,1389.76,0,1426.3610931659757
5,0,38,1,3778,7,30,3,1,1,182.52,0,192.90200619355176
6,0,37,1,1725,43,22,3,1,1,242.88,0,185.94587519464787
9,0,38,1,2840,180,25,2,1,1,940.32,0,881.4042532223018
7,0,29,2,1375,198,13,3,2,1,848.56,0,802.1222257605945
7,0,28,1,1628,35,70,4,1,1,129.25,0,106.41808004719604
14,0,29,1,760,15,9,3,1,1,91.52,0,105.29565692490289
3,0,28,1,885,26,5,4,1,1,87.45,0,67.12571271623793
13,0,27,1,1285,24,15,2,1,1,167.4,0,144.04356913480382
5,0,27,1,3285,13,25,3,1,1,185.96,0,179.18561544867455
5,0,20,1,1755,33,16,2,1,1,228.78,0,155.97698499661072
19,0,19,2,6453,90,44,2,2,1,701.865,0,821.5436676294573
15,0,17,1,8993,78,42,5,1,1,254.505,0,260.75071638336016
11,0,18,4,2913,36,21,3,1,1,262.44,0,224.20513533948377
5,0,11,2,4450,220,12,3,1,1,1059.72,0,1115.8445850319913
6,1,11,2,1548,5,9,3,1,1,82.8,1,95.00633854889541
5,0,36,0,4310,0,15,2,1,1,197.01,0,188.60106552796623
0,0,37,0,258,2,2,2,1,2,20.7,0,28.420395643024648
7,0,35,0,2393,354,22,2,1,1,1703.25,0,1898.3806526233154
7,0,36,0,4138,0,33,1,1,1,231.055,0,240.03558547971406
0,0,36,0,2333,0,31,1,1,1,131.34,0,133.60473450670028
8,0,36,0,3715,27,26,3,1,1,259.76,0,223.3557788946953
1,0,36,0,2300,280,16,3,1,1,1213.44,0,1313.0278357493505
10,0,35,1,9055,139,41,3,1,1,922.92,0,981.2354745078595
4,0,36,0,13713,0,42,3,1,1,555.16,0,545.9712607490995
4,0,36,0,4455,0,23,3,1,1,181.4,0,178.83785167999278
3,0,36,0,5858,2,10,2,1,1,276.75,0,240.47567627529
6,1,36,0,2178,3,15,3,1,2,101.16,0,85.030499601178
22,0,36,2,15080,49,30,3,1,1,808.08,0,825.065242122865
1,0,36,0,3035,478,6,3,1,1,2034.36,0,2052.209642732852
6,0,35,0,15425,145,28,2,1,1,1354.68,0,1421.2838742927754
0,0,35,0,6440,181,24,3,1,1,984.92,0,1050.1848167250741
0,0,35,0,815,0,9,2,1,2,37.17,0,36.52429747033481
0,0,36,0,650,8,6,2,1,2,65.745,0,45.192583942461766
0,0,35,0,7448,379,41,2,1,1,2046.24,0,2150.1330470003336
4,0,35,0,11405,6,45,3,1,1,486.24,0,499.7365791954693
5,0,35,0,6658,103,35,2,1,1,766.35,0,835.5826384748075
20,0,31,0,895,11,15,2,1,2,91.755,1,73.15606416915804
18,0,34,7,10375,0,40,4,1,1,261.625,0,269.4809614180752
10,0,34,0,5758,21,22,2,1,1,357.885,1,357.7499659929049
0,0,32,0,2780,0,12,3,1,1,111.96,0,109.00834047615338
6,0,33,0,2930,4,14,2,1,2,151.56,1,130.59924321536656
6,1,34,0,2208,29,29,3,1,2,205.96,1,190.90534599268156
0,0,34,0,1608,0,4,3,1,1,65.2,0,75.42255373862679
0,0,31,0,6725,9,20,4,1,1,192.975,0,190.10632723199527
0,0,34,0,568,4,2,4,1,2,24.3,1,25.428053768033426
22,0,29,2,16015,0,78,2,1,1,731.25,0,770.0595087788496
3,0,32,2,6905,266,31,2,2,1,1512.81,0,1693.05037699419
0,0,34,0,3658,0,26,2,1,1,168.165,0,173.85992908886013
0,0,33,0,1605,33,18,3,1,2,197.84,0,201.03242224112572
3,0,34,0,2720,170,21,2,1,1,889.65,0,777.5369569392187
1,0,25,0,1255,188,9,2,2,1,903.96,0,792.2219028068712
1,0,24,0,1508,25,66,4,1,1,101.1,0,86.28954753105832
8,0,25,0,640,5,5,2,1,2,52.29,0,44.676239054496754
0,1,24,0,765,16,1,4,1,2,59.3,1,49.86705279018266
7,0,23,0,1165,14,11,2,1,1,116.73,0,108.52964671072644
0,0,23,0,3165,3,21,3,1,1,140.92,0,136.4604323644024
0,0,16,0,1635,23,12,2,1,1,178.11,0,121.91586757090131
13,0,15,0,6333,80,40,1,2,1,795.905,0,814.2406540390228
9,0,13,0,8873,68,38,4,1,1,396.025,0,373.98590159076105
5,0,14,2,2793,26,17,3,1,1,217.4,0,174.1243234725921
0,0,7,0,4330,210,8,3,1,1,1014.68,0,995.4175736084726
0,0,7,0,1428,0,5,3,1,1,57.76,1,73.23681729522696
9,0,42,1,4450,15,21,3,1,1,240.92,0,226.40840207842976
1,1,43,0,398,17,8,3,1,2,84.2,1,60.687141516620294
11,0,41,1,2533,369,28,3,1,1,1579.8,0,1741.7638490788572
11,0,42,1,4278,11,39,1,1,1,299.53,0,296.11739467855585
4,0,42,1,2473,12,37,2,1,1,167.985,0,188.55767555002166
12,0,42,2,3855,42,32,3,1,1,325.56,0,319.8767192339432
5,0,42,1,2440,295,22,3,1,1,1279.24,0,1504.2868366623632
14,0,41,3,9195,154,47,3,1,1,988.72,0,1136.427178846931
8,0,42,1,13853,10,48,3,1,1,600.96,0,595.6823509265452
8,0,42,2,4595,12,29,3,1,1,235.2,0,243.98327285720345
7,0,42,1,5998,17,16,3,1,1,311.8,0,276.9868552778052
10,0,42,0,2318,18,21,3,1,2,166.96,0,162.25386259502997
26,0,42,4,15220,64,36,3,2,1,873.88,0,884.8527038079152
5,0,42,2,3175,493,12,3,1,1,2100.16,0,2071.815367971224
10,0,41,1,15565,160,34,2,1,1,1428.705,0,1304.4756294743668
4,0,41,2,6580,196,30,3,1,1,1050.72,0,1231.4846994654636
1,0,41,0,955,10,15,2,1,2,88.695,0,60.048275405819126
3,0,42,0,790,23,12,3,1,2,124.24,0,95.47454333528215
1,0,41,0,80,10,4,2,1,2,48.69,1,36.494899980087176
4,0,41,1,7588,394,47,3,1,1,1884.68,0,1577.050546658801
8,0,41,2,11545,21,51,4,1,1,345.025,0,359.2794335244366
9,0,41,2,6798,118,41,2,1,1,840.375,0,950.7141365042743
24,1,37,0,1035,26,21,3,1,2,147.36,1,110.9759904732295
22,1,40,9,10515,11,46,5,1,1,175.65,0,155.03133051215968
14,0,40,2,5898,36,28,2,1,1,431.91,1,429.1655668577454
2,0,38,1,2920,10,18,3,1,1,157.76,0,142.7177585353303
10,0,39,0,3070,19,20,3,1,2,200.52,1,235.53848853776938
10,1,40,0,2348,44,35,3,1,2,271.76,1,310.9333531741101
1,0,40,0,213,10,6,3,1,2,48.68,1,42.74333856009319
2,0,40,1,1748,10,10,4,1,1,69.375,0,68.21868511610978
4,0,37,2,6865,24,26,5,1,1,140.46,0,136.55474899365237
1,1,40,0,708,19,8,4,1,2,65.425,1,49.27517431909114
1,0,40,2,418,14,6,5,1,1,27.36,0,24.01429565167212
26,0,35,4,16155,10,84,2,1,1,782.775,0,775.4212263083524
7,1,38,4,7045,281,37,2,2,1,1586.835,0,1827.6914214595247
3,0,40,1,3798,12,32,3,1,1,203.28,0,206.36363757530688
4,0,39,0,1745,48,24,3,1,2,263.64,0,366.9266135145895
7,0,40,1,2860,185,27,2,1,1,963.675,0,927.079572615382
5,0,31,2,1395,203,15,2,2,1,977.985,0,881.4297930063703
5,0,30,1,1648,40,72,4,1,1,142.225,0,117.55835244320711
12,0,31,0,780,20,11,3,1,2,112.28,0,89.75480503440895
1,0,30,0,905,31,7,4,1,2,100.425,0,83.21047128745738
11,0,29,1,1305,29,17,2,1,1,190.755,0,151.67478670532375
3,0,29,1,3305,18,27,3,1,1,206.72,0,191.38519711320103
3,0,22,1,1775,38,18,2,1,1,252.135,0,165.9944426811031
17,0,21,2,6473,95,46,2,2,1,725.22,0,843.3718641799699
13,0,19,1,9013,83,44,5,1,1,262.29,0,280.6306181403506
9,0,20,4,2933,41,23,3,1,1,283.2,0,237.38477881486455
3,0,13,2,4470,225,14,3,1,1,1080.48,0,1163.4142408636505
4,0,13,2,1568,10,11,3,1,1,103.56,1,100.1419258920456
7,0,34,0,4290,0,13,2,1,1,196.155,0,191.16233843132676
9,0,33,0,2373,349,20,2,1,1,1679.895,0,1823.0594440717477
9,0,34,0,4118,0,31,1,1,1,230.01,0,235.02641759893802
2,0,34,0,2313,0,29,1,1,1,130.295,0,129.41164664763122
10,0,34,0,3695,22,24,3,1,1,239.0,0,211.6697624197176
3,0,34,0,2280,275,14,3,1,1,1192.68,0,1245.6671714367374
12,0,33,1,9035,134,39,3,1,1,902.16,0,950.9452334536824
6,0,34,0,13693,0,40,3,1,1,554.4,0,549.3885582355562
6,0,34,0,4435,0,21,3,1,1,180.64,0,179.12441830404768
5,0,34,0,5838,0,8,2,1,1,266.895,0,239.72891851474233
8,0,34,0,2158,0,13,3,1,2,88.4,0,79.33987897863669
24,0,34,2,15060,44,28,3,1,1,787.32,0,842.1998315463795
3,0,34,0,3015,473,4,3,1,1,2013.6,0,1986.3245119368628
8,0,33,0,15405,140,26,2,1,1,1331.325,0,1433.321228081794
2,0,33,0,6420,176,22,3,1,1,964.16,0,1004.7175454496141
0,0,33,0,795,0,7,2,1,2,36.315,0,35.773985392588294
1,0,34,0,630,3,4,2,1,2,42.39,0,36.91722702067559
2,0,33,0,7428,374,39,2,1,1,2022.885,0,2066.35113469533
6,0,33,0,11385,1,43,3,1,1,465.48,0,481.50094854404324
7,0,33,0,6638,98,33,2,1,1,742.995,0,799.9204872788464
22,0,29,0,875,6,13,2,1,2,68.4,1,62.384953377374664
20,0,32,7,10355,0,38,4,1,1,261.15,0,274.88394617592047
12,1,32,0,5738,16,20,2,1,1,334.53,1,311.56761280226294
0,0,30,0,2760,0,10,3,1,1,111.2,0,105.91348199366641
8,1,31,0,2910,0,12,3,1,2,117.96,1,111.81821970848999
8,0,32,0,2188,24,27,3,1,2,185.2,1,185.76618281361274
0,0,32,0,1588,0,2,3,1,1,64.44,0,73.05097848220035
2,0,29,0,6705,4,18,4,1,1,180.0,0,182.1357876272262
24,0,27,2,15995,0,76,2,1,1,730.395,0,773.3211270134535
5,0,30,2,6885,261,29,2,2,1,1489.455,0,1647.8015373191863
1,0,32,0,3638,0,24,2,1,1,167.31,0,170.87124213167257
2,0,31,0,1585,28,16,3,1,2,177.08,0,166.13625480680054
5,0,32,0,2700,165,19,2,1,1,866.295,0,737.6600248615368
3,0,23,0,1235,183,7,2,2,1,880.605,0,758.854066800986
3,0,22,0,1488,20,64,4,1,1,88.125,0,77.92061422801666
10,0,23,0,620,0,3,2,1,2,28.935,0,37.54506463235914
0,0,22,0,0,11,0,4,1,2,27.5,0,25.051935534648248
9,0,21,0,1145,9,9,2,1,1,93.375,0,102.83549248451577
1,0,21,0,3145,0,19,3,1,1,128.16,0,129.3805815805126
1,0,14,0,1615,18,10,2,1,1,154.755,0,112.35706985720607
15,0,13,0,6313,75,38,1,2,1,767.36,0,759.435784376461
11,0,11,0,8853,63,36,4,1,1,383.05,0,363.326984823269
7,0,12,2,2773,21,15,3,1,1,196.64,0,164.2575932245526
1,0,5,0,4310,205,6,3,1,1,993.92,0,953.6014202204726
2,0,5,0,1408,0,3,3,1,1,57.0,1,73.66885201509284
13,0,44,1,4630,20,23,3,1,1,268.44,0,262.08356639760314
5,0,45,0,578,22,10,3,1,2,111.72,0,83.97545888848941
15,0,43,1,2713,374,30,3,1,1,1607.32,0,1621.6747546587037
15,0,44,1,4458,16,41,1,1,1,337.37,0,334.1207521803413
8,0,44,1,2653,17,39,2,1,1,198.945,0,220.21626610372752
16,0,44,2,4035,47,34,3,1,1,353.08,0,361.0381873582279
9,0,44,1,2620,300,24,3,1,1,1306.76,0,1492.382943215085
18,0,43,3,9375,159,49,3,1,1,1016.24,0,1134.2767611265233
12,0,44,1,14033,15,50,3,1,1,628.48,0,612.8667505935263
12,0,44,2,4775,17,31,3,1,1,262.72,0,281.91901125692397
11,0,44,1,6178,22,18,3,1,1,339.32,0,321.1096877519534
14,1,44,0,2498,23,23,3,1,2,194.48,0,186.62372835503098
30,0,44,4,15400,69,38,3,1,1,901.4,0,855.4125092635289
9,0,44,2,3355,498,14,3,1,1,2127.68,0,1884.3258320908362
14,0,43,1,15745,165,36,2,1,1,1459.665,0,1281.5452789362296
8,0,43,2,6760,201,32,3,1,1,1078.24,0,1258.8202045594246
5,0,43,0,1135,15,17,2,1,2,119.655,0,82.52183871101121
7,0,44,0,970,28,14,3,1,2,151.76,0,127.4461450595025
5,0,43,0,260,15,6,2,1,2,79.65,1,51.869680175698264
8,0,43,1,7768,399,49,3,1,1,1912.2,0,1349.7169025532487
12,0,43,2,11725,26,53,4,1,1,362.225,0,360.8498187589759
13,0,43,2,6978,123,43,2,1,1,871.335,0,1013.6078583353224
28,1,39,0,1215,31,23,3,1,2,174.88,1,139.1869134944863
26,0,42,9,10695,16,48,5,2,1,185.97,0,181.16411227440702
18,0,42,2,6078,41,30,2,1,1,462.87,0,495.64118763993497
6,0,40,1,3100,15,20,3,1,1,185.28,0,169.57196204052943
14,1,41,0,3250,24,22,3,1,2,228.04,1,272.38582694897434
14,1,42,0,2528,49,37,4,1,2,187.05,1,179.17542461402277
5,0,42,0,393,15,8,3,1,2,76.2,1,58.810468737052894
6,0,42,1,1928,15,12,4,1,1,86.575,0,79.95556319855653
8,0,39,2,7045,29,28,5,1,1,150.78,0,147.83006252723843
5,0,42,0,888,24,10,4,1,2,82.625,1,61.643375093149764
5,0,42,2,598,19,8,5,1,1,37.68,0,28.760606245009257
30,1,37,4,16335,15,86,2,1,1,813.735,0,746.1251370089875
11,1,40,4,7225,286,39,3,2,1,1438.04,0,1307.4578963315928
7,0,42,1,3978,17,34,3,1,1,230.8,0,235.71200697413468
8,0,41,0,1925,53,26,3,1,2,291.16,0,465.53917268086917
11,0,42,1,3040,190,29,2,1,1,994.635,0,992.3006013759759
9,0,33,2,1575,208,17,3,2,1,896.84,0,863.1035438640414
9,0,32,1,1828,45,74,5,1,1,95.655,0,86.04325632031203
16,0,33,0,960,25,13,3,1,2,139.8,0,119.39870485152105
5,0,32,0,1085,36,9,4,1,2,117.625,0,107.49941330798357
15,0,31,1,1485,34,19,2,1,1,221.715,0,183.69867454562421
7,0,31,1,3485,23,29,3,1,1,234.24,0,220.98496566891168
7,0,24,1,1955,43,20,3,1,1,251.64,0,191.75676463244042
21,0,23,2,6653,100,48,2,2,1,756.18,0,848.2728757166176
17,0,21,1,9193,88,46,5,1,1,272.61,0,271.58040189727234
13,0,22,4,3113,46,25,3,1,1,310.72,0,283.9973849005462
7,0,15,2,4650,230,16,3,1,1,1108.0,0,1228.9269814290762
8,1,15,2,1748,15,13,3,1,1,131.08,1,119.99079567373249
3,0,32,0,4110,0,11,2,1,1,187.695,0,166.3831559148766
5,0,31,0,2193,344,18,2,1,1,1648.935,0,1851.919842736538
5,0,32,0,3938,0,29,1,1,1,219.67,0,220.02511842809886
0,0,32,0,2133,0,27,1,1,1,119.955,0,119.24385355241404
6,0,32,0,3515,17,22,2,1,1,237.915,0,212.8280389104251
0,0,32,0,2100,270,12,3,1,1,1165.16,0,1209.9901172290688
8,0,31,1,8855,129,37,3,1,1,874.64,0,937.7252382794201
2,0,32,0,13513,0,38,3,1,1,546.88,0,538.2805772740085
2,0,32,0,4255,0,19,3,1,1,173.12,0,162.620178810195
1,0,32,0,5658,0,6,2,1,1,258.435,0,207.5556961653287
4,0,32,0,1978,0,11,3,1,2,80.88,0,70.94513299617707
20,0,32,2,14880,39,26,3,1,1,759.8,0,795.112680926344
0,0,32,0,2835,468,2,3,1,1,1986.08,0,2112.2066532270082
4,0,31,0,15225,135,24,2,1,1,1300.365,0,1415.4869883153024
0,0,31,0,6240,171,20,3,1,1,936.64,0,962.6616145377949
0,0,31,0,615,0,5,2,1,2,27.855,0,32.227630175001785
0,0,32,0,450,0,2,2,1,2,20.43,0,29.052612912869613
0,0,31,0,7248,369,37,2,1,1,1991.925,0,2186.9851596997264
2,0,31,0,11205,0,41,3,1,1,453.96,0,467.20740399843265
3,0,31,0,6458,93,31,2,1,1,712.035,0,738.4390442649917
18,1,27,0,695,1,11,2,1,2,37.44,1,52.96079713232931
16,0,30,7,10175,0,36,4,1,1,256.45,0,252.07179839525602
8,1,30,0,5558,11,18,2,1,1,303.57,1,270.90191398171004
0,0,28,0,2580,0,8,3,1,1,103.68,0,99.32984443238234
4,0,29,0,2730,0,10,2,1,2,124.245,1,99.80351306442613
4,1,30,0,2008,19,25,3,1,2,157.68,1,127.92004830137677
0,0,27,0,6525,0,16,4,1,1,165.3,0,167.32745076291118
20,0,25,2,15815,0,74,2,1,1,721.935,0,788.9286607578815
1,0,28,2,6705,256,27,2,2,1,1458.495,0,1708.7423334010443
0,0,30,0,3458,0,22,2,1,1,158.85,0,157.98387616051394
0,0,29,0,1405,23,14,3,1,2,149.56,0,125.98598516815359
1,0,30,0,2520,160,17,2,1,1,835.335,0,668.6058090462479
0,0,21,0,1055,178,5,2,2,1,849.645,0,708.2786668708012
0,0,20,0,1308,15,62,4,1,1,70.925,0,74.38623391683547
6,0,21,0,440,0,1,2,1,2,20.475,0,31.798414101851186
0,0,20,0,0,6,0,4,1,2,15.0,0,20.476757193577406
5,0,19,0,965,4,7,2,1,1,62.415,0,82.2759261040266
0,0,19,0,2965,0,17,3,1,1,120.64,0,120.39457460286953
0,0,12,0,1435,13,8,2,1,1,123.795,0,95.76813931098779
11,0,11,0,6133,70,36,1,2,1,729.52,0,752.5302625371696
7,0,9,0,8673,58,34,4,1,1,365.85,0,359.4080269458429
3,0,10,2,2593,16,13,3,1,1,169.12,0,135.05162939749232
0,0,3,0,4130,200,4,3,1,1,966.4,0,895.4412327981242
0,1,3,0,1228,0,1,2,1,1,55.665,1,69.1976522427832
10,0,41,0,4550,16,22,3,1,1,249.16,0,228.52734170327477
2,0,42,0,498,18,9,2,1,2,103.995,0,63.99136804990336
12,0,40,0,2633,370,29,3,1,1,1588.04,0,1509.1244109004797
12,0,41,0,4378,12,40,1,1,1,310.86,0,312.8085314316583
5,0,41,0,2573,13,38,1,1,1,216.645,0,188.01209293496086
13,0,41,1,3955,43,33,3,1,1,333.8,0,314.669663908114
6,0,41,0,2540,296,23,3,1,1,1287.48,0,1384.3948123795956
15,0,40,2,9295,155,48,3,1,1,996.96,0,1076.2094312446109
9,0,41,0,13953,11,49,3,1,1,609.2,0,576.243664433571
9,0,41,1,4695,13,30,3,1,1,243.44,0,248.3607736746976
8,0,41,0,6098,18,17,3,1,1,320.04,0,287.5043564425725
11,0,41,0,2418,19,22,3,1,2,175.2,0,175.42115061369532
27,0,41,3,15320,65,37,3,1,1,882.12,0,847.6172995457462
6,0,41,1,3275,494,13,3,1,1,2108.4,0,1907.7193225867757
11,0,40,0,15665,161,35,2,1,1,1437.975,0,1367.1062477764137
5,0,40,1,6680,197,31,3,1,1,1058.96,0,1199.9609802889418
2,0,40,0,1055,11,16,2,1,2,97.965,0,66.37504069476388
4,0,41,0,890,24,13,3,1,2,132.48,0,104.47698224749875
2,0,40,0,180,11,5,2,1,2,57.96,1,40.757927405479556
5,0,40,0,7688,395,48,2,1,1,2129.535,0,1790.1078880878695
9,0,40,1,11645,22,52,4,1,1,350.175,0,339.1253287062891
10,0,40,1,6898,119,42,2,1,1,849.645,0,982.5845480590988
25,1,36,0,1135,27,22,2,1,2,175.05,1,153.3250347820219
23,0,39,8,10615,12,47,5,1,1,178.74,0,204.44973884110232
15,0,39,1,5998,37,29,2,1,1,441.18,0,466.7671196440883
3,0,37,0,3020,11,19,3,1,1,166.0,0,147.67261001287824
11,1,38,0,3170,20,21,3,1,2,208.76,1,231.63424454028157
11,1,39,0,2448,45,36,3,1,2,280.0,1,329.08299385783795
2,1,39,0,313,11,7,3,1,2,56.92,1,47.06214854617556
3,0,39,0,1848,11,11,3,1,1,119.24,0,105.8950170683294
5,0,36,1,6965,25,27,5,1,1,143.55,0,133.23674202795965
2,0,39,0,808,20,9,4,1,2,70.575,1,51.3527308404315
2,0,39,1,518,15,7,5,1,1,30.45,0,24.630162089823006
27,1,34,3,16255,11,85,2,1,1,792.045,0,672.4571445216477
8,0,37,3,7145,282,38,2,2,1,1596.105,0,1553.9663077797507
4,0,39,0,3898,13,33,2,1,1,237.96,0,240.67889821090313
5,0,38,0,1845,49,25,3,1,2,271.88,0,395.2924652420791
8,0,39,0,2960,186,28,2,1,1,972.945,0,941.2277813531239
6,1,30,1,1495,204,16,2,2,1,987.255,1,952.8299358588024
6,0,29,0,1748,41,73,4,1,1,147.375,0,96.48514576562053
13,0,30,0,880,21,12,2,1,2,135.585,0,98.14488413877064
2,0,29,0,1005,32,8,4,1,2,105.575,0,90.04978569487898
12,0,28,0,1405,30,18,2,1,1,200.025,0,164.48106562474266
4,0,28,0,3405,19,28,3,1,1,214.96,0,191.57304524871694
4,0,21,0,1875,39,19,2,1,1,261.405,0,183.38910849876413
18,0,20,1,6573,96,47,2,2,1,734.49,0,803.2717109681784
14,0,18,0,9113,84,45,4,1,1,442.3,0,369.2975535448467
10,0,19,3,3033,42,24,3,1,1,291.44,0,256.56270034878963
4,0,12,1,4570,226,15,3,1,1,1088.72,0,1175.2435973294098
5,0,12,1,1668,11,12,3,1,1,111.8,1,108.0106402698259
6,0,35,0,4190,0,12,3,1,1,170.12,0,159.40992491952207
8,0,34,0,2273,348,19,3,1,1,1485.0,0,1575.0706179588651
8,0,35,0,4018,0,30,1,1,1,224.18,0,226.69330789644096
1,0,35,0,2213,0,28,1,1,1,124.465,0,123.87016787193652
9,0,35,1,3595,21,23,3,1,1,230.76,0,212.2752372641345
2,0,35,0,2180,274,13,3,1,1,1184.44,0,1233.8261774463303
11,0,34,2,8935,133,38,3,1,1,893.92,0,990.6644513415011
5,0,35,0,13593,0,39,3,1,1,550.16,0,545.7930065679086
5,0,35,1,4335,0,20,3,1,1,176.4,0,176.08221127985672
